PKAIZ	5179
sandshrew	slash
sandshrew	substitute
nidoran-f	scratch
nidoran-f	cut
nidoran-f	double kick
nidoran-f	headbutt
nidoran-f	tackle
nidoran-f	body slam
nidoran-f	take down
nidoran-f	double-edge
nidoran-f	tail whip
nidoran-f	poison sting
nidoran-f	bite
nidoran-f	growl
nidoran-f	supersonic
nidoran-f	disable
nidoran-f	ice beam
nidoran-f	blizzard
nidoran-f	counter
nidoran-f	strength
nidoran-f	thunderbolt
nidoran-f	thunder
nidoran-f	dig
nidoran-f	toxic
nidoran-f	rage
nidoran-f	mimic
nidoran-f	double team
nidoran-f	defense curl
nidoran-f	reflect
nidoran-f	focus energy
nidoran-f	bide
nidoran-f	skull bash
nidoran-f	fury swipes
nidoran-f	rest
nidoran-f	super fang
nidoran-f	substitute
nidoran-m	cut
nidoran-m	double kick
nidoran-m	headbutt
nidoran-m	horn attack
nidoran-m	fury attack
nidoran-m	horn drill
nidoran-m	tackle
nidoran-m	body slam
nidoran-m	take down
nidoran-m	thrash
nidoran-m	double-edge
nidoran-m	poison sting
nidoran-m	leer
nidoran-m	supersonic
nidoran-m	disable
nidoran-m	ice beam
nidoran-m	blizzard
nidoran-m	peck
nidoran-m	counter
nidoran-m	strength
nidoran-m	thunderbolt
nidoran-m	thunder
nidoran-m	dig
nidoran-m	toxic
nidoran-m	confusion
nidoran-m	rage
nidoran-m	mimic
nidoran-m	double team
nidoran-m	defense curl
nidoran-m	reflect
nidoran-m	focus energy
nidoran-m	bide
nidoran-m	skull bash
nidoran-m	amnesia
nidoran-m	rest
nidoran-m	super fang
nidoran-m	substitute
vulpix	headbutt
vulpix	tackle
vulpix	body slam
vulpix	take down
vulpix	double-edge
vulpix	tail whip
vulpix	roar
vulpix	disable
vulpix	ember
vulpix	flamethrower
vulpix	fire spin
vulpix	dig
vulpix	toxic
vulpix	hypnosis
vulpix	agility
vulpix	quick attack
vulpix	rage
vulpix	mimic
vulpix	double team
vulpix	confuse ray
vulpix	reflect
vulpix	bide
vulpix	fire blast
vulpix	swift
vulpix	skull bash
vulpix	rest
vulpix	substitute
zubat	razor wind
zubat	gust
zubat	wing attack
zubat	whirlwind
zubat	fly
zubat	headbutt
zubat	take down
zubat	double-edge
zubat	bite
zubat	supersonic
zubat	absorb
zubat	mega drain
zubat	toxic
zubat	hypnosis
zubat	agility
zubat	quick attack
zubat	rage
zubat	mimic
zubat	double team
zubat	confuse ray
zubat	haze
zubat	bide
zubat	swift
zubat	leech life
zubat	rest
zubat	super fang
zubat	substitute
oddish	swords dance
oddish	cut
oddish	headbutt
oddish	take down
oddish	double-edge
oddish	acid
oddish	absorb
oddish	mega drain
oddish	leech seed
oddish	growth
oddish	razor leaf
oddish	solar beam
oddish	poison powder
oddish	stun spore
oddish	sleep powder
oddish	petal dance
oddish	toxic
oddish	rage
oddish	mimic
oddish	double team
oddish	reflect
oddish	bide
oddish	flash
oddish	rest
oddish	substitute
paras	scratch
paras	swords dance
paras	cut
paras	headbutt
paras	body slam
paras	take down
paras	double-edge
paras	psybeam
paras	counter
paras	absorb
paras	mega drain
paras	leech seed
paras	growth
paras	solar beam
paras	poison powder
paras	stun spore
paras	sleep powder
paras	string shot
paras	dig
paras	toxic
paras	agility
paras	rage
paras	mimic
paras	screech
paras	double team
paras	light screen
paras	reflect
paras	bide
paras	skull bash
paras	leech life
paras	spore
paras	flash
paras	fury swipes
paras	rest
paras	slash
paras	substitute
venonat	headbutt
venonat	tackle
venonat	take down
venonat	double-edge
venonat	supersonic
venonat	disable
venonat	psybeam
venonat	mega drain
venonat	solar beam
venonat	poison powder
venonat	stun spore
venonat	sleep powder
venonat	string shot
venonat	toxic
venonat	confusion
venonat	psychic
venonat	agility
venonat	rage
venonat	night shade
venonat	mimic
venonat	screech
venonat	double team
venonat	confuse ray
venonat	reflect
venonat	bide
venonat	swift
venonat	leech life
venonat	flash
venonat	psywave
venonat	rest
venonat	substitute
diglett	scratch
diglett	swords dance
diglett	cut
diglett	sand attack
diglett	headbutt
diglett	body slam
diglett	take down
diglett	double-edge
diglett	growl
diglett	earthquake
diglett	fissure
diglett	dig
diglett	toxic
diglett	agility
diglett	rage
diglett	mimic
diglett	screech
diglett	double team
diglett	bide
diglett	fury swipes
diglett	rest
diglett	rock slide
diglett	slash
diglett	substitute
meowth	pay day
meowth	scratch
meowth	cut
meowth	headbutt
meowth	body slam
meowth	take down
meowth	double-edge
meowth	tail whip
meowth	bite
meowth	growl
meowth	water gun
meowth	bubble beam
meowth	thunderbolt
meowth	thunder wave
meowth	thunder
meowth	dig
meowth	toxic
meowth	hypnosis
meowth	agility
meowth	rage
meowth	mimic
meowth	screech
meowth	double team
meowth	defense curl
meowth	bide
meowth	swift
meowth	skull bash
meowth	amnesia
meowth	dream eater
meowth	flash
meowth	fury swipes
meowth	rest
meowth	slash
meowth	substitute
psyduck	mega punch
psyduck	pay day
psyduck	ice punch
psyduck	scratch
psyduck	mega kick
psyduck	headbutt
psyduck	body slam
psyduck	take down
psyduck	double-edge
psyduck	tail whip
psyduck	disable
psyduck	water gun
psyduck	hydro pump
psyduck	surf
psyduck	ice beam
psyduck	blizzard
psyduck	psybeam
psyduck	bubble beam
psyduck	submission
psyduck	low kick
psyduck	counter
psyduck	seismic toss
psyduck	strength
psyduck	dig
psyduck	toxic
psyduck	confusion
psyduck	psychic
psyduck	hypnosis
psyduck	rage
psyduck	mimic
psyduck	screech
psyduck	double team
psyduck	confuse ray
psyduck	light screen
psyduck	haze
psyduck	bide
psyduck	metronome
psyduck	waterfall
psyduck	swift
psyduck	skull bash
psyduck	amnesia
psyduck	bubble
psyduck	flash
psyduck	fury swipes
psyduck	rest
psyduck	substitute
mankey	karate chop
mankey	mega punch
mankey	pay day
mankey	fire punch
mankey	ice punch
mankey	thunder punch
mankey	scratch
mankey	mega kick
mankey	headbutt
mankey	body slam
mankey	take down
mankey	thrash
mankey	double-edge
mankey	leer
mankey	submission
mankey	low kick
mankey	counter
mankey	seismic toss
mankey	strength
mankey	thunderbolt
mankey	thunder
mankey	earthquake
mankey	dig
mankey	toxic
mankey	meditate
mankey	rage
mankey	mimic
mankey	screech
mankey	double team
mankey	defense curl
mankey	focus energy
mankey	bide
mankey	metronome
mankey	swift
mankey	skull bash
mankey	fury swipes
mankey	rest
mankey	rock slide
mankey	substitute
growlithe	double kick
growlithe	headbutt
growlithe	body slam
growlithe	take down
growlithe	thrash
growlithe	double-edge
growlithe	leer
growlithe	bite
growlithe	roar
growlithe	ember
growlithe	flamethrower
growlithe	strength
growlithe	dragon rage
growlithe	fire spin
growlithe	dig
growlithe	toxic
growlithe	agility
growlithe	rage
growlithe	mimic
growlithe	double team
growlithe	reflect
growlithe	bide
growlithe	fire blast
growlithe	swift
growlithe	skull bash
growlithe	rest
growlithe	substitute
poliwag	pound
poliwag	double slap
poliwag	headbutt
poliwag	body slam
poliwag	take down
poliwag	double-edge
poliwag	mist
poliwag	water gun
poliwag	hydro pump
poliwag	surf
poliwag	ice beam
poliwag	blizzard
poliwag	bubble beam
poliwag	low kick
poliwag	dig
poliwag	toxic
poliwag	psychic
poliwag	hypnosis
poliwag	rage
poliwag	mimic
poliwag	double team
poliwag	defense curl
poliwag	haze
poliwag	bide
poliwag	waterfall
poliwag	swift
poliwag	skull bash
poliwag	amnesia
poliwag	bubble
poliwag	psywave
poliwag	splash
poliwag	rest
poliwag	substitute
abra	mega punch
abra	fire punch
abra	ice punch
abra	thunder punch
abra	mega kick
abra	headbutt
abra	body slam
abra	take down
abra	double-edge
abra	submission
abra	counter
abra	seismic toss
abra	thunder wave
abra	toxic
abra	confusion
abra	psychic
abra	rage
abra	teleport
abra	mimic
abra	double team
abra	barrier
abra	light screen
abra	reflect
abra	bide
abra	metronome
abra	swift
abra	skull bash
abra	dream eater
abra	flash
abra	psywave
abra	rest
abra	tri attack
abra	substitute
machop	karate chop
machop	mega punch
machop	fire punch
machop	ice punch
machop	thunder punch
machop	mega kick
machop	rolling kick
machop	headbutt
machop	tackle
machop	body slam
machop	take down
machop	double-edge
machop	leer
machop	flamethrower
machop	submission
machop	low kick
machop	counter
machop	seismic toss
machop	strength
machop	earthquake
machop	fissure
machop	dig
machop	toxic
machop	meditate
machop	rage
machop	mimic
machop	double team
machop	light screen
machop	focus energy
machop	bide
machop	metronome
machop	fire blast
machop	skull bash
machop	rest
machop	rock slide
machop	substitute
bellsprout	swords dance
bellsprout	cut
bellsprout	bind
bellsprout	slam
bellsprout	vine whip
bellsprout	headbutt
bellsprout	wrap
bellsprout	take down
bellsprout	double-edge
bellsprout	acid
bellsprout	mega drain
bellsprout	growth
bellsprout	razor leaf
bellsprout	solar beam
bellsprout	poison powder
bellsprout	stun spore
bellsprout	sleep powder
bellsprout	toxic
bellsprout	rage
bellsprout	mimic
bellsprout	double team
bellsprout	reflect
bellsprout	bide
bellsprout	leech life
bellsprout	flash
bellsprout	rest
bellsprout	substitute
tentacool	swords dance
tentacool	cut
tentacool	bind
tentacool	headbutt
tentacool	wrap
tentacool	take down
tentacool	double-edge
tentacool	poison sting
tentacool	supersonic
tentacool	acid
tentacool	water gun
tentacool	hydro pump
tentacool	surf
tentacool	ice beam
tentacool	blizzard
tentacool	bubble beam
tentacool	aurora beam
tentacool	mega drain
tentacool	toxic
tentacool	rage
tentacool	mimic
tentacool	screech
tentacool	double team
tentacool	confuse ray
tentacool	barrier
tentacool	haze
tentacool	reflect
tentacool	bide
tentacool	waterfall
tentacool	swift
tentacool	skull bash
tentacool	constrict
tentacool	bubble
tentacool	acid armor
tentacool	rest
tentacool	substitute
geodude	mega punch
geodude	fire punch
geodude	thunder punch
geodude	sand attack
geodude	headbutt
geodude	tackle
geodude	body slam
geodude	take down
geodude	double-edge
geodude	flamethrower
geodude	submission
geodude	counter
geodude	seismic toss
geodude	strength
geodude	rock throw
geodude	earthquake
geodude	fissure
geodude	dig
geodude	toxic
geodude	rage
geodude	mimic
geodude	double team
geodude	harden
geodude	defense curl
geodude	bide
geodude	metronome
geodude	self-destruct
geodude	fire blast
geodude	explosion
geodude	rest
geodude	rock slide
geodude	substitute
venusaur	swords dance
venusaur	cut
venusaur	bind
venusaur	vine whip
venusaur	headbutt
venusaur	tackle
venusaur	body slam
venusaur	take down
venusaur	double-edge
venusaur	growl
venusaur	roar
venusaur	hyper beam
venusaur	strength
venusaur	mega drain
venusaur	leech seed
venusaur	growth
venusaur	razor leaf
venusaur	solar beam
venusaur	poison powder
venusaur	sleep powder
venusaur	petal dance
venusaur	string shot
venusaur	earthquake
venusaur	toxic
venusaur	rage
venusaur	mimic
venusaur	double team
venusaur	defense curl
venusaur	light screen
venusaur	reflect
venusaur	bide
venusaur	amnesia
venusaur	flash
venusaur	rest
venusaur	substitute
charmeleon	mega punch
charmeleon	fire punch
charmeleon	thunder punch
charmeleon	scratch
charmeleon	swords dance
charmeleon	cut
charmeleon	mega kick
charmeleon	headbutt
charmeleon	body slam
charmeleon	take down
charmeleon	double-edge
charmeleon	leer
charmeleon	bite
charmeleon	growl
charmeleon	roar
charmeleon	ember
charmeleon	flamethrower
charmeleon	submission
charmeleon	counter
charmeleon	seismic toss
charmeleon	strength
charmeleon	dragon rage
charmeleon	fire spin
charmeleon	dig
charmeleon	toxic
charmeleon	rage
charmeleon	mimic
charmeleon	double team
charmeleon	smokescreen
charmeleon	defense curl
charmeleon	reflect
charmeleon	bide
charmeleon	fire blast
charmeleon	swift
charmeleon	skull bash
charmeleon	fury swipes
charmeleon	rest
charmeleon	rock slide
charmeleon	slash
charmeleon	substitute
charizard	mega punch
charizard	fire punch
charizard	thunder punch
charizard	scratch
charizard	swords dance
charizard	cut
charizard	wing attack
charizard	fly
charizard	mega kick
charizard	headbutt
charizard	body slam
charizard	take down
charizard	double-edge
charizard	leer
charizard	bite
charizard	growl
charizard	roar
charizard	ember
charizard	flamethrower
charizard	hyper beam
charizard	submission
charizard	counter
charizard	seismic toss
charizard	strength
charizard	solar beam
charizard	dragon rage
charizard	fire spin
charizard	earthquake
charizard	fissure
charizard	dig
charizard	toxic
charizard	rage
charizard	mimic
charizard	double team
charizard	smokescreen
charizard	defense curl
charizard	reflect
charizard	bide
charizard	fire blast
charizard	swift
charizard	skull bash
charizard	fury swipes
charizard	rest
charizard	rock slide
charizard	slash
charizard	substitute
wartortle	mega punch
wartortle	ice punch
wartortle	mega kick
wartortle	headbutt
wartortle	tackle
wartortle	body slam
wartortle	take down
wartortle	double-edge
wartortle	tail whip
wartortle	bite
wartortle	mist
wartortle	water gun
wartortle	hydro pump
wartortle	surf
wartortle	ice beam
wartortle	blizzard
wartortle	bubble beam
wartortle	submission
wartortle	counter
wartortle	seismic toss
wartortle	strength
wartortle	dig
wartortle	toxic
wartortle	rage
wartortle	mimic
wartortle	double team
wartortle	withdraw
wartortle	defense curl
wartortle	haze
wartortle	reflect
wartortle	bide
wartortle	waterfall
wartortle	skull bash
wartortle	bubble
wartortle	rest
wartortle	rock slide
wartortle	substitute
blastoise	mega punch
blastoise	ice punch
blastoise	mega kick
blastoise	headbutt
blastoise	tackle
blastoise	body slam
blastoise	take down
blastoise	double-edge
blastoise	tail whip
blastoise	bite
blastoise	roar
blastoise	mist
blastoise	water gun
blastoise	hydro pump
blastoise	surf
blastoise	ice beam
blastoise	blizzard
blastoise	bubble beam
blastoise	hyper beam
blastoise	submission
blastoise	counter
blastoise	seismic toss
blastoise	strength
blastoise	earthquake
blastoise	fissure
blastoise	dig
blastoise	toxic
blastoise	rage
blastoise	mimic
blastoise	double team
blastoise	withdraw
blastoise	defense curl
blastoise	haze
blastoise	reflect
blastoise	bide
blastoise	waterfall
blastoise	skull bash
blastoise	bubble
blastoise	rest
blastoise	rock slide
blastoise	substitute
metapod	string shot
metapod	harden
butterfree	razor wind
butterfree	gust
butterfree	whirlwind
butterfree	headbutt
butterfree	tackle
butterfree	take down
butterfree	double-edge
butterfree	supersonic
butterfree	psybeam
butterfree	hyper beam
butterfree	mega drain
butterfree	solar beam
butterfree	poison powder
butterfree	stun spore
butterfree	sleep powder
butterfree	string shot
butterfree	toxic
butterfree	confusion
butterfree	psychic
butterfree	rage
butterfree	teleport
butterfree	mimic
butterfree	double team
butterfree	harden
butterfree	reflect
butterfree	bide
butterfree	swift
butterfree	dream eater
butterfree	flash
butterfree	psywave
butterfree	rest
butterfree	substitute
kakuna	string shot
kakuna	harden
beedrill	swords dance
beedrill	cut
beedrill	headbutt
beedrill	fury attack
beedrill	take down
beedrill	double-edge
beedrill	poison sting
beedrill	twineedle
beedrill	pin missile
beedrill	hyper beam
beedrill	peck
beedrill	mega drain
beedrill	solar beam
beedrill	string shot
beedrill	toxic
beedrill	agility
beedrill	rage
beedrill	mimic
beedrill	double team
beedrill	harden
beedrill	reflect
beedrill	focus energy
beedrill	bide
beedrill	swift
beedrill	skull bash
beedrill	flash
beedrill	rest
beedrill	substitute
pidgeotto	razor wind
pidgeotto	gust
pidgeotto	wing attack
pidgeotto	whirlwind
pidgeotto	fly
pidgeotto	sand attack
pidgeotto	headbutt
pidgeotto	tackle
pidgeotto	take down
pidgeotto	double-edge
pidgeotto	toxic
pidgeotto	agility
pidgeotto	quick attack
pidgeotto	rage
pidgeotto	mimic
pidgeotto	double team
pidgeotto	reflect
pidgeotto	bide
pidgeotto	mirror move
pidgeotto	swift
pidgeotto	sky attack
pidgeotto	rest
pidgeotto	substitute
pidgeot	razor wind
pidgeot	gust
pidgeot	wing attack
pidgeot	whirlwind
pidgeot	fly
pidgeot	sand attack
pidgeot	headbutt
pidgeot	tackle
pidgeot	take down
pidgeot	double-edge
pidgeot	hyper beam
pidgeot	toxic
pidgeot	agility
pidgeot	quick attack
pidgeot	rage
pidgeot	mimic
pidgeot	double team
pidgeot	reflect
pidgeot	bide
pidgeot	mirror move
pidgeot	swift
pidgeot	sky attack
pidgeot	rest
pidgeot	substitute
raticate	swords dance
raticate	cut
raticate	headbutt
raticate	tackle
raticate	body slam
raticate	take down
raticate	double-edge
raticate	tail whip
raticate	bite
raticate	roar
raticate	water gun
raticate	ice beam
raticate	blizzard
raticate	bubble beam
raticate	hyper beam
raticate	counter
raticate	strength
raticate	thunderbolt
raticate	thunder wave
raticate	thunder
raticate	dig
raticate	toxic
raticate	quick attack
raticate	rage
raticate	mimic
raticate	double team
raticate	defense curl
raticate	focus energy
raticate	bide
raticate	swift
raticate	skull bash
raticate	fury swipes
raticate	rest
raticate	hyper fang
raticate	super fang
raticate	substitute
fearow	razor wind
fearow	wing attack
fearow	whirlwind
fearow	fly
fearow	headbutt
fearow	fury attack
fearow	take down
fearow	double-edge
fearow	leer
fearow	growl
fearow	hyper beam
fearow	peck
fearow	drill peck
fearow	toxic
fearow	agility
fearow	quick attack
fearow	rage
fearow	mimic
fearow	double team
fearow	focus energy
fearow	bide
fearow	mirror move
fearow	swift
fearow	sky attack
fearow	rest
fearow	tri attack
fearow	substitute
arbok	bind
arbok	slam
arbok	headbutt
arbok	body slam
arbok	wrap
arbok	take down
arbok	double-edge
arbok	poison sting
arbok	leer
arbok	bite
arbok	acid
arbok	hyper beam
arbok	strength
arbok	mega drain
arbok	earthquake
arbok	fissure
arbok	dig
arbok	toxic
arbok	rage
arbok	mimic
arbok	screech
arbok	double team
arbok	haze
arbok	bide
arbok	skull bash
arbok	glare
arbok	leech life
arbok	rest
arbok	rock slide
arbok	substitute
pikachu	mega punch
pikachu	pay day
pikachu	thunder punch
pikachu	slam
pikachu	double kick
pikachu	mega kick
pikachu	headbutt
pikachu	body slam
pikachu	take down
pikachu	double-edge
pikachu	tail whip
pikachu	growl
pikachu	surf
pikachu	submission
pikachu	counter
pikachu	seismic toss
pikachu	strength
pikachu	thunder shock
pikachu	thunderbolt
pikachu	thunder wave
pikachu	thunder
pikachu	dig
pikachu	toxic
pikachu	agility
pikachu	quick attack
pikachu	rage
pikachu	mimic
pikachu	double team
pikachu	defense curl
pikachu	light screen
pikachu	reflect
pikachu	bide
pikachu	swift
pikachu	skull bash
pikachu	flash
pikachu	rest
pikachu	substitute
raichu	mega punch
raichu	pay day
raichu	thunder punch
raichu	slam
raichu	mega kick
raichu	headbutt
raichu	body slam
raichu	take down
raichu	double-edge
raichu	tail whip
raichu	growl
raichu	surf
raichu	hyper beam
raichu	submission
raichu	counter
raichu	seismic toss
raichu	strength
raichu	thunder shock
raichu	thunderbolt
raichu	thunder wave
raichu	thunder
raichu	dig
raichu	toxic
raichu	agility
raichu	quick attack
raichu	rage
raichu	mimic
raichu	double team
raichu	defense curl
raichu	light screen
raichu	reflect
raichu	bide
raichu	swift
raichu	skull bash
raichu	flash
raichu	rest
raichu	substitute
sandslash	scratch
sandslash	swords dance
sandslash	cut
sandslash	sand attack
sandslash	headbutt
sandslash	body slam
sandslash	take down
sandslash	double-edge
sandslash	poison sting
sandslash	pin missile
sandslash	hyper beam
sandslash	submission
sandslash	low kick
sandslash	counter
sandslash	seismic toss
sandslash	strength
sandslash	earthquake
sandslash	fissure
sandslash	dig
sandslash	toxic
sandslash	agility
sandslash	rage
sandslash	mimic
sandslash	double team
sandslash	defense curl
sandslash	bide
sandslash	swift
sandslash	skull bash
sandslash	amnesia
sandslash	leech life
sandslash	fury swipes
sandslash	rest
sandslash	rock slide
sandslash	super fang
sandslash	slash
sandslash	substitute
nidorina	scratch
nidorina	cut
nidorina	double kick
nidorina	headbutt
nidorina	horn drill
nidorina	tackle
nidorina	body slam
nidorina	take down
nidorina	double-edge
nidorina	tail whip
nidorina	poison sting
nidorina	bite
nidorina	growl
nidorina	water gun
nidorina	ice beam
nidorina	blizzard
nidorina	bubble beam
nidorina	counter
nidorina	strength
nidorina	thunderbolt
nidorina	thunder
nidorina	dig
nidorina	toxic
nidorina	rage
nidorina	mimic
nidorina	double team
nidorina	defense curl
nidorina	reflect
nidorina	focus energy
nidorina	bide
nidorina	skull bash
nidorina	fury swipes
nidorina	rest
nidorina	super fang
nidorina	substitute
nidoqueen	mega punch
nidoqueen	pay day
nidoqueen	fire punch
nidoqueen	ice punch
nidoqueen	thunder punch
nidoqueen	scratch
nidoqueen	cut
nidoqueen	double kick
nidoqueen	mega kick
nidoqueen	headbutt
nidoqueen	horn drill
nidoqueen	tackle
nidoqueen	body slam
nidoqueen	take down
nidoqueen	double-edge
nidoqueen	tail whip
nidoqueen	poison sting
nidoqueen	bite
nidoqueen	growl
nidoqueen	roar
nidoqueen	supersonic
nidoqueen	flamethrower
nidoqueen	water gun
nidoqueen	surf
nidoqueen	ice beam
nidoqueen	blizzard
nidoqueen	bubble beam
nidoqueen	hyper beam
nidoqueen	submission
nidoqueen	counter
nidoqueen	seismic toss
nidoqueen	strength
nidoqueen	thunderbolt
nidoqueen	thunder
nidoqueen	earthquake
nidoqueen	fissure
nidoqueen	dig
nidoqueen	toxic
nidoqueen	rage
nidoqueen	mimic
nidoqueen	double team
nidoqueen	defense curl
nidoqueen	reflect
nidoqueen	focus energy
nidoqueen	bide
nidoqueen	fire blast
nidoqueen	skull bash
nidoqueen	fury swipes
nidoqueen	rest
nidoqueen	rock slide
nidoqueen	super fang
nidoqueen	substitute
nidorino	cut
nidorino	double kick
nidorino	headbutt
nidorino	horn attack
nidorino	fury attack
nidorino	horn drill
nidorino	tackle
nidorino	body slam
nidorino	take down
nidorino	double-edge
nidorino	poison sting
nidorino	leer
nidorino	water gun
nidorino	ice beam
nidorino	blizzard
nidorino	bubble beam
nidorino	peck
nidorino	counter
nidorino	strength
nidorino	thunderbolt
nidorino	thunder
nidorino	dig
nidorino	toxic
nidorino	rage
nidorino	mimic
nidorino	double team
nidorino	defense curl
nidorino	reflect
nidorino	focus energy
nidorino	bide
nidorino	skull bash
nidorino	amnesia
nidorino	rest
nidorino	super fang
nidorino	substitute
nidoking	mega punch
nidoking	pay day
nidoking	fire punch
nidoking	ice punch
nidoking	thunder punch
nidoking	cut
nidoking	double kick
nidoking	mega kick
nidoking	headbutt
nidoking	horn attack
nidoking	fury attack
nidoking	horn drill
nidoking	tackle
nidoking	body slam
nidoking	take down
nidoking	thrash
nidoking	double-edge
nidoking	poison sting
nidoking	leer
nidoking	roar
nidoking	supersonic
nidoking	flamethrower
nidoking	water gun
nidoking	surf
nidoking	ice beam
nidoking	blizzard
nidoking	bubble beam
nidoking	hyper beam
nidoking	peck
nidoking	submission
nidoking	counter
nidoking	seismic toss
nidoking	strength
nidoking	thunderbolt
nidoking	thunder
nidoking	earthquake
nidoking	fissure
nidoking	dig
nidoking	toxic
nidoking	rage
nidoking	mimic
nidoking	double team
nidoking	defense curl
nidoking	reflect
nidoking	focus energy
nidoking	bide
nidoking	fire blast
nidoking	skull bash
nidoking	amnesia
nidoking	rest
nidoking	rock slide
nidoking	super fang
nidoking	substitute
clefairy	pound
clefairy	double slap
clefairy	mega punch
clefairy	fire punch
clefairy	ice punch
clefairy	thunder punch
clefairy	mega kick
clefairy	headbutt
clefairy	tackle
clefairy	body slam
clefairy	take down
clefairy	double-edge
clefairy	growl
clefairy	sing
clefairy	flamethrower
clefairy	water gun
clefairy	ice beam
clefairy	blizzard
clefairy	psybeam
