PKAIS	151										
Name	Type	Type2	Atk	Sp Atk	Def	Sp Def	Spd	Hp	Weight (kg)	Ability 1	Ability 2
Ivysaur	Grass	Poison	62	80	63	80	60	60	13	---	---
Jigglypuff	Normal	None	45	45	20	25	20	115	5.5	---	---
Jolteon	Electric	None	65	110	60	95	130	65	24.5	---	---
Jynx	Ice	Psychic	50	115	35	95	95	65	40.6	---	---
Kabuto	Rock	Water	80	55	90	45	55	30	11.5	---	---
Kabutops	Rock	Water	115	65	105	70	80	60	40.5	---	---
Kadabra	Psychic	None	35	120	30	70	105	40	56.5	---	---
Kakuna	Bug	Poison	25	25	50	25	35	45	10	---	---
Kangaskhan	Normal	None	95	40	80	80	90	105	80	---	---
Kingler	Water	None	130	50	115	50	75	55	60	---	---
Koffing	Poison	None	65	60	95	45	35	40	1	---	---
Krabby	Water	None	105	25	90	25	50	30	6.5	---	---
Lapras	Water	Ice	85	85	80	95	60	130	220	---	---
Lickitung	Normal	None	55	60	75	75	30	90	65.5	---	---
Machamp	Fighting	None	130	65	80	85	55	90	130	---	---
Machoke	Fighting	None	100	50	70	60	45	80	70.5	---	---
Machop	Fighting	None	80	35	50	35	35	70	19.5	---	---
Magikarp	Water	None	10	15	55	20	80	20	10	---	---
Magmar	Fire	None	95	100	57	85	93	65	44.5	---	---
Magnemite	Electric	None	35	95	70	55	45	25	6	---	---
Magneton	Electric	None	60	120	95	70	70	50	60	---	---
Mankey	Fighting	None	80	35	35	45	70	40	28	---	---
Marowak	Ground	None	80	50	110	80	45	60	45	---	---
Meowth	Normal	None	45	40	35	40	90	40	4.2	---	---
Metapod	Bug	None	20	25	55	25	30	50	9.9	---	---
Mew	Psychic	None	100	100	100	100	100	100	4	---	---
Mewtwo	Psychic	None	110	154	90	90	130	106	122	---	---
Moltres	Fire	Flying	100	125	90	85	90	90	60	---	---
Mr. Mime	Psychic	None	45	100	65	120	90	40	54.5	---	---
Muk	Poison	None	105	65	75	100	50	105	30	---	---
Nidoking	Poison	Ground	102	85	77	75	85	81	62	---	---
Nidoqueen	Poison	Ground	92	75	87	85	76	90	60	---	---
Nidoran-F	Poison	None	47	40	52	40	41	55	7	---	---
Nidoran-M	Poison	None	57	40	40	40	50	46	9	---	---
Nidorina	Poison	None	62	55	67	55	56	70	20	---	---
Nidorino	Poison	None	72	55	57	55	65	61	19.5	---	---
Ninetales	Fire	None	76	81	75	100	100	73	19.9	---	---
Oddish	Grass	Poison	50	75	55	65	30	45	5.4	---	---
Omanyte	Rock	Water	40	90	100	55	35	35	7.5	---	---
Omastar	Rock	Water	60	115	125	70	55	70	35	---	---
Onix	Rock	Ground	45	30	160	45	70	35	210	---	---
Paras	Bug	Grass	70	45	55	55	25	35	5.4	---	---
Parasect	Bug	Grass	95	60	80	80	30	60	29.5	---	---
Persian	Normal	None	70	65	60	65	115	65	32	---	---
Pidgeot	Normal	Flying	80	70	75	70	101	83	39.5	---	---
Pidgeotto	Normal	Flying	60	50	55	50	71	63	30	---	---
Pidgey	Normal	Flying	45	35	40	35	56	40	1.8	---	---
Pikachu	Electric	None	55	50	40	50	90	35	6	---	---
Pinsir	Bug	None	125	55	100	70	85	65	55	---	---
Poliwag	Water	None	50	40	40	40	90	40	12.4	---	---
Poliwhirl	Water	None	65	50	65	50	90	65	20	---	---
Poliwrath	Water	Fighting	95	70	95	90	70	90	54	---	---
Ponyta	Fire	None	85	65	55	65	90	50	30	---	---
Porygon	Normal	None	60	85	70	75	40	65	36.5	---	---
Primeape	Fighting	None	105	60	60	70	95	65	32	---	---
Psyduck	Water	None	52	65	48	50	55	50	19.6	---	---
Raichu	Electric	None	90	90	55	80	110	60	30	---	---
Rapidash	Fire	None	100	80	70	80	105	65	95	---	---
Raticate	Normal	None	81	50	60	70	97	55	18.5	---	---
Rattata	Normal	None	56	25	35	35	72	30	3.5	---	---
Rhydon	Ground	Rock	130	45	120	45	40	105	120	---	---
Rhyhorn	Ground	Rock	85	30	95	30	25	80	115	---	---
Sandshrew	Ground	None	75	20	85	30	40	50	12	---	---
Sandslash	Ground	None	100	45	110	55	65	75	29.5	---	---
Scyther	Bug	Flying	110	55	80	80	105	70	56	---	---
Seadra	Water	None	65	95	95	45	85	55	25	---	---
Seaking	Water	None	92	65	65	80	68	80	39	---	---
Seel	Water	None	45	45	55	70	45	65	90	---	---
Shellder	Water	None	65	45	100	25	40	30	4	---	---
Slowbro	Water	Psychic	75	100	110	80	30	95	78.5	---	---
Slowpoke	Water	Psychic	65	40	65	40	15	90	36	---	---
Snorlax	Normal	None	110	65	65	110	30	160	460	---	---
Spearow	Normal	Flying	60	31	30	31	70	40	2	---	---
Squirtle	Water	None	48	50	65	64	43	44	9	---	---
Starmie	Water	Psychic	75	100	85	85	115	60	80	---	---
Staryu	Water	None	45	70	55	55	85	30	34.5	---	---
Tangela	Grass	None	55	100	115	40	60	65	35	---	---
Tauros	Normal	None	100	40	95	70	110	75	88.4	---	---
Tentacool	Water	Poison	40	50	35	100	70	40	45.5	---	---
Tentacruel	Water	Poison	70	80	65	120	100	80	55	---	---
Vaporeon	Water	None	65	110	60	95	65	130	29	---	---
Venomoth	Bug	Poison	65	90	60	75	90	70	12.5	---	---
Venonat	Bug	Poison	55	40	50	55	45	60	30	---	---
Venusaur	Grass	Poison	82	100	83	100	80	80	100	---	---
Victreebel	Grass	Poison	105	100	65	70	70	80	15.5	---	---
Vileplume	Grass	Poison	80	110	85	90	50	75	18.6	---	---
Voltorb	Electric	None	30	55	50	55	100	40	10.4	---	---
Vulpix	Fire	None	41	50	40	65	65	38	9.9	---	---
Wartortle	Water	None	63	65	80	80	58	59	22.5	---	---
Weedle	Bug	Poison	35	20	30	20	50	40	3.2	---	---
Weepinbell	Grass	Poison	90	85	50	45	55	65	6.4	---	---
Weezing	Poison	None	90	85	120	70	60	65	9.5	---	---
Wigglytuff	Normal	None	70	85	45	50	45	140	12	---	---
Zapdos	Electric	Flying	90	125	85	90	100	90	52.6	---	---
Zubat	Poison	Flying	45	30	35	40	55	40	7.5	---	---
