PKAIM	383							"Buff, self"										"Debuff, Enemy"									Ailment					"Ailment, Volatile"								
Name	Type	PP	P.Accuracy	Power	Damage	Target	Priority	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	S.Accuracy	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	Burn	Freeze	Paralysis	Poison	Sleep	Confusion	Flinch	Identify	Infatuation	Lock On	Nightmare	P. Trap	Other	Description
blaze kick	Fire	10	90	85	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	High-Crit	The user launches a kick with a high critical-hit ratio. It may also leave the target with a burn.
blizzard	Ice	5	70	120	2	5	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	---	A howling blizzard is summoned to strike the foe. It may also freeze the target solid.
body slam	Normal	15	100	85	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	---	The user drops onto the foe with its full body weight. It may leave the foe paralyzed.
bone club	Ground	20	85	65	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user clubs the foe with a bone. It may also make the target flinch.
bone rush	Ground	10	80	25	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2-3,75%)|MultiAtck(4-5,25%)"	The user strikes at the foe with a hard bone two to five times in a row.
bonemerang	Ground	10	90	50	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2,100%)"	"The user throws the bone it holds. The bone loops to hit the foe twice, coming and going."
bounce	Flying	5	85	85	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"delay(fly,1)"	"The user bounces up high, then drops on the foe on the second turn. It may also paralyze the foe."
brave bird	Flying	15	100	120	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,onHit,-0.33*dmg)"	The user tucks in its wings and charges from a low altitude. The user also takes serious damage.
brick break	Fighting	15	100	75	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shatter(Light Screen);Shatter(Reflect)	"The user attacks with tough fists, etc. It can also break any barrier such as Light Screen and Reflect."
brine	Water	10	100	65	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(TargetHP<=50%,200%*dmg)"	"If the foe's HP is down to about half, this attack will hit with double the power."
bubble	Water	30	100	20	2	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A spray of countless bubbles is jetted at the foe. It may also lower the target's Speed stat.
bubblebeam	Water	20	100	65	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A spray of bubbles is forcefully ejected at the foe. It may also lower the target's Speed stat.
bug bite	Bug	20	100	60	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!BUG-BITE	"The user bites the foe. If the foe is holding a Berry, the user eats it and gains its effect."
bug buzz	Bug	10	100	90	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user vibrates its wings to generate a damaging sound wave. It may also lower the foe's Sp. Def stat.
bulk up	Fighting	20	---	---	0	0	0	1	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats."
bullet punch	Steel	30	100	40	1	1	1	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user strikes with a tough punch as fast as a bullet. This move always goes first.
bullet seed	Grass	30	100	10	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2-3,75%)|MultiAtck(4-5,25%)"	The user forcefully shoots seeds at the foe. Two to five seeds are shot in rapid succession.
calm mind	Psychic	20	---	---	0	0	0	0	1	0	1	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
captivate	Normal	20	100	---	0	3	0	0	0	0	0	0	0	0	0	0	100	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gender(opposite)	"If it is the opposite gender of the user, the foe is charmed into sharply lowering its Sp. Atk stat."
charge	Electric	20	---	---	0	0	0	0	0	0	1	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"PowerUp(Electric,200%,1)"	The user boosts the power of the Electric move it uses next. It also raises the user's Sp. Def stat.
charge beam	Electric	10	90	50	2	1	0	0	1	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user fires a concentrated bundle of electricity. It may also raise the user's Sp. Atk stat.
charm	Normal	20	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user charmingly stares at the foe, making it less wary. The target's Attack is sharply lowered."
chatter	Flying	20	100	60	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!CHATTER	The user attacks using a sound wave based on words it has learned. It may also confuse the foe.
close combat	Fighting	5	100	120	1	1	0	0	0	-1	-1	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user fights the foe in close without guarding itself. It also cuts the user's Defense and Sp. Def.
confuse ray	Ghost	10	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	---	The foe is exposed to a sinister ray that triggers confusion.
confusion	Psychic	25	100	50	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	---	The foe is hit by a weak telekinetic force. It may also leave the foe confused.
copycat	Normal	20	---	---	0	Var	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	useMove(lastMove)	The user mimics the move used immediately before it. The move fails if no other move has been used yet.
cosmic power	Psychic	20	---	---	0	0	0	0	0	1	1	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
counter	Fighting	20	100	Var	1	1	-5	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(attacker,self.InjuredThisTurn&attack.isPhysical,attacker.dmg*2)"	"A retaliation move that counters any physical attack, inflicting double the damage taken."
crabhammer	Water	10	85	90	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	High-Crit	The foe is hammered with a large pincer. This move has a high critical-hit ratio.
cross chop	Fighting	5	80	100	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	High-Crit	The user delivers a double chop with its forearms crossed. It has a high critical-hit ratio.
cross poison	Poison	20	100	70	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	High-Crit	A slashing attack that may also leave the target poisoned. It has a high critical-hit ratio.
crunch	Dark	15	100	80	1	1	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user crunches up the foe with sharp fangs. It may also lower the target's Defense stat.
crush grip	Normal	5	100	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(Always,1+120*target.%HP)"	The foe is crushed with great force. The attack is more powerful the more HP the foe has left.
curse	Unknown	10	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!CURSE	A move that works differently for the Ghost type than for all the other types.
cut	Normal	30	95	50	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.
dark pulse	Dark	15	100	80	2	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.
defend order	Bug	10	---	---	0	0	0	0	0	1	1	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user calls out its underlings to make a living shield, raising its Defense and Sp. Def stats."
defense curl	Normal	40	---	---	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"PowerUp(Ice Ball|Rollout,200%,Infinite)"	The user curls up to conceal weak spots and raise its Defense stat.
destiny bond	Ghost	5	100	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!self.HP=0);ModHP(target,-1*target.HP)"	"When this move is used, if the user faints, the foe that landed the knockout hit also faints."
detect	Fighting	5	100	---	0	0	3	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!DETECT;dr	It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
dig	Ground	10	100	80	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"delay(dig,1)"	"The user burrows, then attacks on the second turn. It can also be used to exit dungeons."
disable	Normal	20	80	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!DISABLE(4-7)	"For several turns, this move prevents the foe from using the move it last used."
discharge	Electric	15	100	80	2	6	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	---	A flare of electricity is loosed to strike all Pokémon in battle. It may also cause paralysis.
dive	Water	10	100	80	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"delay(dive,1)"	"A two-turn attack. The user dives underwater on the first turn, then hits on the next turn."
dizzy punch	Normal	10	100	70	1	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	---	The foe is hit with a rhythmically launched punch that may also leave it confused.
double hit	Normal	10	90	35	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2,100%)"	"The user slams the foe with a tail, etc. The target is hit twice in a row."
double kick	Fighting	30	100	30	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2,100%)"	The foe is quickly kicked twice in succession using both feet.
double team	Normal	15	---	---	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
double-edge	Normal	15	100	120	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,onHit,-0.33*dmg)"	"A reckless, life-risking tackle. It also damages the user by a fairly large amount, however."
doubleslap	Normal	10	85	15	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2-3,75%)|MultiAtck(4-5,25%)"	"The foe is slapped repeatedly, back and forth, two to five times in a row."
draco meteor	Dragon	5	90	140	2	1	0	0	-2	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	Comets are summoned down from the sky. The attack's recoil sharply reduces the user's Sp. Atk stat.
dragon claw	Dragon	15	100	80	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user slashes the foe with huge, sharp claws."
dragon dance	Dragon	20	---	---	0	0	0	1	0	0	0	1	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats."
dragon pulse	Dragon	10	100	90	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is attacked with a shock wave generated by the user's gaping mouth.
dragon rage	Dragon	10	100	Var	3	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(Always,40)"	The foe is stricken by a shock wave. This attack always inflicts 40 HP damage.
dragon rush	Dragon	10	75	100	1	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user tackles the foe while exhibiting overwhelming menace. It may also make the target flinch.
dragonbreath	Dragon	20	100	60	2	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	---	The user exhales a mighty gust that inflicts damage. It may also paralyze the target.
drain punch	Fighting	5	100	60	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,.5*dmgInflicted)"	An energy-draining punch. The user's HP is restored by half the damage taken by the target.
dream eater	Psychic	15	100	100	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!target.Sleep);ModHP(self,.5*dmgInflicted)"	An attack that works only on a sleeping foe. It absorbs half the damage caused to heal the user's HP.
drill peck	Flying	20	100	80	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A corkscrewing attack with the sharp beak acting as a drill.
dynamicpunch	Fighting	5	50	100	1	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	---	"The foe is punched with the user's full, concentrated power. It confuses the foe if it hits."
earth power	Ground	10	100	90	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user makes the ground under the foe erupt with power. It may also lower the target's Sp. Def.
earthquake	Ground	10	100	100	1	6	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user sets off an earthquake that hits all the Pokémon in the battle.
encore	Normal	5	100	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"lockIn(target,always,4-8)"	The user compels the foe to keep using only the move it last used for two to six turns.
endeavor	Normal	5	100	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(Always, Max(target.HP - user.HP,0))"	An attack move that cuts down the foe's HP to equal the user's HP.
endure	Normal	10	100	---	0	0	3	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetHP(self, Max(target.dmg - self.hp, 1));dr"	"The user endures any attack, leaving 1 HP. Its chance of failing rises if it is used in succession."
energy ball	Grass	10	100	80	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user draws power from nature and fires it at the foe. It may also lower the target's Sp. Def.
eruption	Fire	5	100	150	2	5	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(self,Always, 150*self.%HP)"	"The user attacks in an explosive fury. The lower the user's HP, the less powerful this attack becomes."
explosion	Normal	5	100	250	1	6	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,-1*self.HP)"	The user explodes to inflict damage on all Pokémon in battle. The user faints upon using this move.
extrasensory	Psychic	30	100	80	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	"The user attacks with an odd, unseeable power. It may also make the foe flinch."
extremespeed	Normal	5	100	80	1	1	1	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user charges the foe at blinding speed. This attack always goes before any other move.
facade	Normal	20	100	70	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!self.Burned|!self.Paralyzed|!self.Poisoned);SetDMG(Always,self.dmg*200%)"	"An attack move that doubles its power if the user is poisoned, paralyzed, or has a burn."
faint attack	Dark	20	100	60	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Always-Hits	"The user draws up to the foe disarmingly, then throws a sucker punch. It hits without fail."
fake out	Normal	10	100	40	1	1	1	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	first-turn-only	An attack that hits first and makes the target flinch. This move works only on the first turn.
fake tears	Dark	20	100	---	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user feigns crying to make the foe feel flustered, sharply lowering its Sp. Def stat."
false swipe	Normal	40	100	40	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(Always,Max(dmg - target.HP,1))"	A restrained attack that prevents the foe from fainting. The target is left with at least 1 HP.
featherdance	Flying	15	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user covers the foe with a mass of down that sharply lowers the Attack stat.
feint	Normal	10	100	50	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!FEINT	An attack that hits a foe using Protect or Detect. It also lifts the effects of those moves.
fire blast	Fire	5	85	120	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	---	The foe is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.
fire fang	Fire	15	95	65	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	---	The user bites with flame-cloaked fangs. It may also make the foe flinch or sustain a burn.
fire punch	Fire	15	100	75	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	---	The foe is punched with a fiery fist. It may leave the target with a burn.
