PKAIZ	33982
Aggron	flamethrower
Aggron	flash cannon
Aggron	fling
Aggron	focus blast
Aggron	focus punch
Aggron	frustration
Aggron	fury cutter
Aggron	giga impact
Aggron	harden
Aggron	head smash
Aggron	headbutt
Aggron	hidden power
Aggron	hyper beam
Aggron	ice beam
Aggron	ice punch
Aggron	icy wind
Aggron	iron defense
Aggron	iron head
Aggron	iron tail
Aggron	low kick
Aggron	magnet rise
Aggron	mega kick
Aggron	mega punch
Aggron	metal burst
Aggron	metal claw
Aggron	metal sound
Aggron	mimic
Aggron	mud-slap
Aggron	natural gift
Aggron	outrage
Aggron	payback
Aggron	protect
Aggron	rain dance
Aggron	rest
Aggron	return
Aggron	roar
Aggron	rock climb
Aggron	rock polish
Aggron	rock slide
Aggron	rock smash
Aggron	rock tomb
Aggron	rollout
Aggron	sandstorm
Aggron	screech
Aggron	secret power
Aggron	seismic toss
Aggron	shadow claw
Aggron	shock wave
Aggron	sleep talk
Aggron	smellingsalt
Aggron	snore
Aggron	solarbeam
Aggron	spite
Aggron	stealth rock
Aggron	stomp
Aggron	stone edge
Aggron	strength
Aggron	substitute
Aggron	sunny day
Aggron	superpower
Aggron	surf
Aggron	swagger
Aggron	tackle
Aggron	take down
Aggron	taunt
Aggron	thunder
Aggron	thunder wave
Aggron	thunderbolt
Aggron	thunderpunch
Aggron	toxic
Aggron	uproar
Aggron	water pulse
Aggron	whirlpool
Aipom	aerial ace
Aipom	agility
Aipom	astonish
Aipom	attract
Aipom	baton pass
Aipom	beat up
Aipom	body slam
Aipom	bounce
Aipom	brick break
Aipom	captivate
Aipom	counter
Aipom	covet
Aipom	cut
Aipom	defense curl
Aipom	dig
Aipom	double hit
Aipom	double team
Aipom	double-edge
Aipom	doubleslap
Aipom	dream eater
Aipom	dynamicpunch
Aipom	endure
Aipom	facade
Aipom	fake out
Aipom	fire punch
Aipom	fling
Aipom	focus punch
Aipom	frustration
Aipom	fury cutter
Aipom	fury swipes
Aipom	grass knot
Aipom	gunk shot
Aipom	headbutt
Aipom	hidden power
Aipom	ice punch
Aipom	iron tail
Aipom	knock off
Aipom	last resort
Aipom	low kick
Aipom	magic coat
Aipom	mega kick
Aipom	mega punch
Aipom	metronome
Aipom	mimic
Aipom	mud-slap
Aipom	nasty plot
Aipom	natural gift
Aipom	nightmare
Aipom	payback
Aipom	protect
Aipom	pursuit
Aipom	rain dance
Aipom	rest
Aipom	return
Aipom	rock smash
Aipom	sand-attack
Aipom	scratch
Aipom	screech
Aipom	secret power
Aipom	seed bomb
Aipom	seismic toss
Aipom	shadow ball
Aipom	shadow claw
Aipom	shock wave
Aipom	slam
Aipom	sleep talk
Aipom	snatch
Aipom	snore
Aipom	solarbeam
Aipom	spite
Aipom	strength
Aipom	substitute
Aipom	sunny day
Aipom	swagger
Aipom	swift
Aipom	tail whip
Aipom	taunt
Aipom	thief
Aipom	thunder
Aipom	thunder wave
Aipom	thunderbolt
Aipom	thunderpunch
Aipom	tickle
Aipom	toxic
Aipom	u-turn
Aipom	uproar
Aipom	water pulse
Alakazam	attract
Alakazam	barrier
Alakazam	body slam
Alakazam	calm mind
Alakazam	captivate
Alakazam	charge beam
Alakazam	confusion
Alakazam	counter
Alakazam	disable
Alakazam	double team
Alakazam	double-edge
Alakazam	drain punch
Alakazam	dream eater
Alakazam	dynamicpunch
Alakazam	embargo
Alakazam	encore
Alakazam	endure
Alakazam	energy ball
Alakazam	facade
Alakazam	fire punch
Alakazam	flash
Alakazam	fling
Alakazam	focus blast
Alakazam	focus punch
Alakazam	frustration
Alakazam	future sight
Alakazam	giga impact
Alakazam	grass knot
Alakazam	gravity
Alakazam	guard swap
Alakazam	headbutt
Alakazam	hidden power
Alakazam	hyper beam
Alakazam	ice punch
Alakazam	iron tail
Alakazam	kinesis
Alakazam	knock off
Alakazam	light screen
Alakazam	magic coat
Alakazam	mega kick
Alakazam	mega punch
Alakazam	metronome
Alakazam	mimic
Alakazam	miracle eye
Alakazam	natural gift
Alakazam	nightmare
Alakazam	power trick
Alakazam	protect
Alakazam	psybeam
Alakazam	psych up
Alakazam	psychic
Alakazam	psycho cut
Alakazam	rain dance
Alakazam	recover
Alakazam	recycle
Alakazam	reflect
Alakazam	rest
Alakazam	return
Alakazam	role play
Alakazam	safeguard
Alakazam	secret power
Alakazam	seismic toss
Alakazam	shadow ball
Alakazam	shock wave
Alakazam	signal beam
Alakazam	skill swap
Alakazam	sleep talk
Alakazam	snatch
Alakazam	snore
Alakazam	substitute
Alakazam	sunny day
Alakazam	swagger
Alakazam	taunt
Alakazam	teleport
Alakazam	thief
Alakazam	thunder wave
Alakazam	thunderpunch
Alakazam	torment
Alakazam	toxic
Alakazam	trick
Alakazam	trick room
Alakazam	zen headbutt
Altaria	aerial ace
Altaria	agility
Altaria	air cutter
Altaria	astonish
Altaria	attract
Altaria	body slam
Altaria	captivate
Altaria	double team
Altaria	double-edge
Altaria	draco meteor
Altaria	dragon claw
Altaria	dragon dance
Altaria	dragon pulse
Altaria	dragon rush
Altaria	dragonbreath
Altaria	dream eater
Altaria	earthquake
Altaria	endure
Altaria	facade
Altaria	false swipe
Altaria	featherdance
Altaria	fire blast
Altaria	flamethrower
Altaria	fly
Altaria	frustration
Altaria	fury attack
Altaria	giga impact
Altaria	growl
Altaria	haze
Altaria	heal bell
Altaria	heat wave
Altaria	hidden power
Altaria	hyper beam
Altaria	ice beam
Altaria	iron tail
Altaria	mimic
Altaria	mirror move
Altaria	mist
Altaria	mud-slap
Altaria	natural gift
Altaria	ominous wind
Altaria	outrage
Altaria	peck
Altaria	perish song
Altaria	pluck
Altaria	power swap
Altaria	protect
Altaria	psych up
Altaria	pursuit
Altaria	rage
Altaria	rain dance
Altaria	refresh
Altaria	rest
Altaria	return
Altaria	roar
Altaria	rock smash
Altaria	roost
Altaria	safeguard
Altaria	secret power
Altaria	sing
Altaria	sky attack
Altaria	sleep talk
Altaria	snore
Altaria	solarbeam
Altaria	steel wing
Altaria	substitute
Altaria	sunny day
Altaria	swagger
Altaria	swift
Altaria	tailwind
Altaria	take down
Altaria	thief
Altaria	toxic
Altaria	twister
Altaria	uproar
Ambipom	aerial ace
Ambipom	agility
Ambipom	astonish
Ambipom	attract
Ambipom	baton pass
Ambipom	beat up
Ambipom	body slam
Ambipom	bounce
Ambipom	brick break
Ambipom	captivate
Ambipom	counter
Ambipom	covet
Ambipom	cut
Ambipom	defense curl
Ambipom	dig
Ambipom	double hit
Ambipom	double team
Ambipom	double-edge
Ambipom	doubleslap
Ambipom	dream eater
Ambipom	dynamicpunch
Ambipom	endure
Ambipom	facade
Ambipom	fake out
Ambipom	fire punch
Ambipom	fling
Ambipom	focus punch
Ambipom	frustration
Ambipom	fury cutter
Ambipom	fury swipes
Ambipom	giga impact
Ambipom	grass knot
Ambipom	gunk shot
Ambipom	headbutt
Ambipom	hidden power
Ambipom	hyper beam
Ambipom	ice punch
Ambipom	iron tail
Ambipom	knock off
Ambipom	last resort
Ambipom	low kick
Ambipom	magic coat
Ambipom	mega kick
Ambipom	mega punch
Ambipom	metronome
Ambipom	mimic
Ambipom	mud-slap
Ambipom	nasty plot
Ambipom	natural gift
Ambipom	nightmare
Ambipom	payback
Ambipom	protect
Ambipom	pursuit
Ambipom	rain dance
Ambipom	rest
Ambipom	return
Ambipom	rock smash
Ambipom	sand-attack
Ambipom	scratch
Ambipom	screech
Ambipom	secret power
Ambipom	seed bomb
Ambipom	seismic toss
Ambipom	shadow ball
Ambipom	shadow claw
Ambipom	shock wave
Ambipom	slam
Ambipom	sleep talk
Ambipom	snatch
Ambipom	snore
Ambipom	solarbeam
Ambipom	spite
Ambipom	strength
Ambipom	substitute
Ambipom	sunny day
Ambipom	swagger
Ambipom	swift
Ambipom	tail whip
Ambipom	taunt
Ambipom	thief
Ambipom	thunder
Ambipom	thunder wave
Ambipom	thunderbolt
Ambipom	thunderpunch
Ambipom	tickle
Ambipom	toxic
Ambipom	u-turn
Ambipom	uproar
Ambipom	water pulse
Ampharos	attract
Ampharos	body slam
Ampharos	brick break
Ampharos	captivate
Ampharos	charge
Ampharos	charge beam
Ampharos	cotton spore
Ampharos	counter
Ampharos	defense curl
Ampharos	discharge
Ampharos	double team
Ampharos	double-edge
Ampharos	dynamicpunch
Ampharos	endure
Ampharos	facade
Ampharos	fire punch
Ampharos	flash
Ampharos	flatter
Ampharos	fling
Ampharos	focus blast
Ampharos	focus punch
Ampharos	frustration
Ampharos	giga impact
Ampharos	growl
Ampharos	headbutt
Ampharos	heal bell
Ampharos	hidden power
Ampharos	hyper beam
Ampharos	iron tail
Ampharos	light screen
Ampharos	magnet rise
Ampharos	mega kick
Ampharos	mega punch
Ampharos	mimic
Ampharos	natural gift
Ampharos	odor sleuth
Ampharos	outrage
Ampharos	power gem
Ampharos	protect
Ampharos	rain dance
Ampharos	reflect
Ampharos	rest
Ampharos	return
Ampharos	rock climb
Ampharos	rock smash
Ampharos	safeguard
Ampharos	sand-attack
Ampharos	screech
Ampharos	secret power
Ampharos	seismic toss
Ampharos	shock wave
Ampharos	signal beam
Ampharos	sleep talk
Ampharos	snore
Ampharos	strength
Ampharos	substitute
Ampharos	swagger
Ampharos	swift
Ampharos	tackle
Ampharos	take down
Ampharos	thunder
Ampharos	thunder wave
Ampharos	thunderbolt
Ampharos	thunderpunch
Ampharos	thundershock
Ampharos	toxic
Anorith	aerial ace
Anorith	ancientpower
Anorith	attract
Anorith	body slam
Anorith	brick break
Anorith	captivate
Anorith	cross poison
Anorith	crush claw
Anorith	curse
Anorith	cut
Anorith	dig
Anorith	double team
Anorith	double-edge
Anorith	earth power
Anorith	endure
Anorith	facade
Anorith	false swipe
Anorith	frustration
Anorith	fury cutter
Anorith	harden
Anorith	headbutt
Anorith	hidden power
Anorith	iron defense
Anorith	knock off
Anorith	metal claw
Anorith	mimic
Anorith	mud sport
Anorith	mud-slap
Anorith	natural gift
Anorith	protect
Anorith	rapid spin
Anorith	rest
Anorith	return
Anorith	rock blast
Anorith	rock polish
Anorith	rock slide
Anorith	rock smash
Anorith	rock tomb
Anorith	sand-attack
Anorith	sandstorm
Anorith	scratch
Anorith	screech
Anorith	secret power
Anorith	slash
Anorith	sleep talk
Anorith	snore
Anorith	stealth rock
Anorith	string shot
Anorith	substitute
Anorith	sunny day
Anorith	swagger
Anorith	swords dance
Anorith	toxic
Anorith	water gun
Anorith	water pulse
Anorith	x-scissor
Arbok	acid
Arbok	aqua tail
Arbok	attract
Arbok	beat up
Arbok	bite
Arbok	body slam
Arbok	captivate
Arbok	crunch
Arbok	dark pulse
Arbok	dig
Arbok	disable
Arbok	double team
Arbok	double-edge
Arbok	earthquake
Arbok	endure
Arbok	facade
Arbok	fire fang
Arbok	frustration
Arbok	gastro acid
Arbok	giga drain
Arbok	giga impact
Arbok	glare
Arbok	gunk shot
Arbok	haze
Arbok	headbutt
Arbok	hidden power
Arbok	hyper beam
Arbok	ice fang
Arbok	iron tail
Arbok	leer
Arbok	mimic
Arbok	mud bomb
Arbok	natural gift
Arbok	payback
Arbok	poison fang
Arbok	poison jab
Arbok	poison sting
Arbok	poison tail
Arbok	protect
Arbok	pursuit
Arbok	rain dance
Arbok	refresh
Arbok	rest
Arbok	return
Arbok	rock slide
Arbok	rock tomb
Arbok	scary face
Arbok	screech
Arbok	secret power
Arbok	seed bomb
Arbok	slam
Arbok	sleep talk
Arbok	sludge bomb
Arbok	snatch
Arbok	snore
Arbok	spit up
Arbok	spite
Arbok	stockpile
Arbok	strength
Arbok	substitute
Arbok	sunny day
Arbok	swagger
Arbok	swallow
Arbok	switcheroo
Arbok	thief
Arbok	thunder fang
Arbok	torment
Arbok	toxic
Arbok	wrap
Arcanine	aerial ace
Arcanine	agility
Arcanine	attract
Arcanine	bite
Arcanine	body slam
Arcanine	captivate
Arcanine	charm
Arcanine	crunch
Arcanine	dig
Arcanine	double team
Arcanine	double-edge
Arcanine	dragon pulse
Arcanine	ember
Arcanine	endure
Arcanine	extremespeed
Arcanine	facade
Arcanine	fire blast
Arcanine	fire fang
Arcanine	fire spin
Arcanine	flame wheel
Arcanine	flamethrower
Arcanine	flare blitz
Arcanine	frustration
Arcanine	giga impact
Arcanine	headbutt
Arcanine	heat wave
Arcanine	helping hand
Arcanine	hidden power
Arcanine	howl
Arcanine	hyper beam
Arcanine	iron head
Arcanine	iron tail
Arcanine	leer
Arcanine	mimic
Arcanine	morning sun
Arcanine	mud-slap
Arcanine	natural gift
Arcanine	odor sleuth
Arcanine	overheat
Arcanine	protect
Arcanine	rest
Arcanine	return
Arcanine	reversal
Arcanine	roar
Arcanine	rock climb
Arcanine	rock smash
Arcanine	safeguard
Arcanine	secret power
Arcanine	sleep talk
Arcanine	snore
Arcanine	solarbeam
Arcanine	strength
Arcanine	substitute
Arcanine	sunny day
Arcanine	swagger
Arcanine	swift
Arcanine	take down
Arcanine	thief
Arcanine	thrash
Arcanine	thunder fang
Arcanine	toxic
Arcanine	will-o-wisp
Arceus	aerial ace
Arceus	ancientpower
Arceus	aqua tail
Arceus	avalanche
Arceus	blizzard
Arceus	brick break
Arceus	brine
Arceus	bullet seed
Arceus	calm mind
Arceus	charge beam
Arceus	cosmic power
Arceus	cut
Arceus	dark pulse
Arceus	defog
Arceus	dive
Arceus	double team
Arceus	draco meteor
Arceus	dragon claw
Arceus	dragon pulse
Arceus	dream eater
Arceus	earth power
Arceus	earthquake
Arceus	endure
Arceus	energy ball
Arceus	extremespeed
Arceus	facade
Arceus	fire blast
Arceus	flamethrower
Arceus	flash
Arceus	flash cannon
Arceus	fly
Arceus	focus blast
Arceus	frustration
Arceus	fury cutter
Arceus	future sight
Arceus	giga drain
Arceus	giga impact
Arceus	grass knot
Arceus	gravity
Arceus	hail
Arceus	headbutt
Arceus	heat wave
Arceus	hidden power
Arceus	hyper beam
Arceus	hyper voice
Arceus	ice beam
Arceus	icy wind
Arceus	iron defense
Arceus	iron head
Arceus	iron tail
Arceus	judgment
Arceus	last resort
Arceus	light screen
Arceus	magic coat
Arceus	mud-slap
Arceus	natural gift
Arceus	ominous wind
Arceus	outrage
Arceus	overheat
Arceus	payback
Arceus	perish song
Arceus	poison jab
Arceus	protect
Arceus	psych up
Arceus	psychic
Arceus	punishment
Arceus	rain dance
Arceus	recover
Arceus	recycle
Arceus	reflect
Arceus	refresh
Arceus	rest
Arceus	return
Arceus	roar
Arceus	rock climb
Arceus	rock slide
Arceus	rock smash
Arceus	rock tomb
Arceus	role play
Arceus	safeguard
Arceus	sandstorm
Arceus	secret power
Arceus	seismic toss
Arceus	shadow ball
Arceus	shadow claw
Arceus	shock wave
Arceus	signal beam
Arceus	silver wind
Arceus	sleep talk
Arceus	sludge bomb
Arceus	snore
Arceus	solarbeam
Arceus	stealth rock
Arceus	stone edge
Arceus	strength
Arceus	substitute
Arceus	sunny day
Arceus	surf
Arceus	swagger
Arceus	swift
Arceus	swords dance
Arceus	tailwind
Arceus	thunder
Arceus	thunder wave
Arceus	thunderbolt
Arceus	toxic
Arceus	trick
Arceus	trick room
Arceus	twister
Arceus	water pulse
Arceus	waterfall
Arceus	whirlpool
Arceus	will-o-wisp
Arceus	x-scissor
Arceus	zen headbutt
Ariados	agility
Ariados	attract
Ariados	baton pass
Ariados	body slam
Ariados	bounce
Ariados	bug bite
Ariados	captivate
Ariados	constrict
Ariados	dig
Ariados	disable
Ariados	double team
Ariados	double-edge
Ariados	endure
Ariados	facade
Ariados	flash
Ariados	frustration
Ariados	fury swipes
Ariados	giga drain
Ariados	giga impact
Ariados	hidden power
Ariados	hyper beam
Ariados	leech life
Ariados	mimic
Ariados	natural gift
Ariados	night shade
Ariados	pin missile
Ariados	poison jab
Ariados	poison sting
Ariados	protect
Ariados	psybeam
Ariados	psychic
Ariados	pursuit
Ariados	refresh
Ariados	rest
Ariados	return
Ariados	scary face
Ariados	secret power
Ariados	shadow sneak
Ariados	signal beam
Ariados	sleep talk
Ariados	sludge bomb
Ariados	snore
Ariados	solarbeam
Ariados	sonicboom
Ariados	spider web
Ariados	string shot
Ariados	substitute
Ariados	sucker punch
Ariados	sunny day
Ariados	swagger
Ariados	thief
Ariados	toxic
Ariados	toxic spikes
Armaldo	aerial ace
Armaldo	ancientpower
Armaldo	aqua tail
Armaldo	attract
Armaldo	block
Armaldo	body slam
Armaldo	brick break
Armaldo	captivate
Armaldo	cross poison
Armaldo	crush claw
Armaldo	curse
Armaldo	cut
Armaldo	dig
Armaldo	double team
Armaldo	double-edge
Armaldo	earthquake
Armaldo	endure
Armaldo	facade
Armaldo	false swipe
Armaldo	flash cannon
Armaldo	frustration
Armaldo	fury cutter
Armaldo	giga impact
Armaldo	harden
Armaldo	headbutt
Armaldo	hidden power
Armaldo	hyper beam
Armaldo	iron defense
Armaldo	iron tail
Armaldo	knock off
Armaldo	low kick
Armaldo	metal claw
Armaldo	mimic
Armaldo	mud sport
Armaldo	mud-slap
Armaldo	natural gift
Armaldo	protect
Armaldo	rapid spin
Armaldo	rest
Armaldo	return
Armaldo	rock blast
Armaldo	rock polish
Armaldo	rock slide
Armaldo	rock smash
Armaldo	rock tomb
Armaldo	sand-attack
Armaldo	sandstorm
Armaldo	scratch
Armaldo	screech
Armaldo	secret power
Armaldo	seismic toss
Armaldo	slash
Armaldo	sleep talk
Armaldo	snore
Armaldo	stealth rock
Armaldo	stone edge
Armaldo	strength
Armaldo	string shot
Armaldo	substitute
Armaldo	sunny day
Armaldo	superpower
Armaldo	swagger
Armaldo	swords dance
Armaldo	toxic
Armaldo	water gun
Armaldo	water pulse
Armaldo	x-scissor
Aron	aerial ace
Aron	ancientpower
Aron	attract
Aron	body slam
Aron	captivate
Aron	curse
Aron	cut
Aron	defense curl
Aron	dig
Aron	double team
Aron	double-edge
Aron	dragon rush
Aron	earth power
Aron	earthquake
Aron	endeavor
Aron	endure
Aron	facade
Aron	frustration
Aron	fury cutter
Aron	harden
Aron	head smash
Aron	headbutt
Aron	hidden power
Aron	iron defense
Aron	iron head
Aron	iron tail
Aron	magnet rise
Aron	metal burst
Aron	metal claw
Aron	metal sound
Aron	mimic
Aron	mud-slap
Aron	natural gift
Aron	protect
Aron	rain dance
Aron	rest
Aron	return
Aron	roar
Aron	rock polish
Aron	rock slide
Aron	rock smash
Aron	rock tomb
Aron	rollout
Aron	sandstorm
Aron	screech
Aron	secret power
Aron	shadow claw
Aron	shock wave
Aron	sleep talk
Aron	smellingsalt
Aron	snore
Aron	spite
Aron	stealth rock
Aron	stomp
Aron	strength
Aron	substitute
Aron	sunny day
Aron	superpower
Aron	swagger
Aron	tackle
Aron	take down
Aron	toxic
Aron	uproar
Aron	water pulse
Articuno	aerial ace
Articuno	agility
Articuno	air cutter
Articuno	ancientpower
Articuno	avalanche
Articuno	blizzard
Articuno	defog
Articuno	double team
Articuno	double-edge
Articuno	endure
Articuno	extrasensory
Articuno	facade
Articuno	fly
Articuno	frustration
Articuno	giga impact
Articuno	gust
Articuno	hail
Articuno	haze
Articuno	heal bell
Articuno	hidden power
Articuno	hyper beam
Articuno	ice beam
Articuno	ice shard
Articuno	icy wind
Articuno	mimic
Articuno	mind reader
Articuno	mist
Articuno	mud-slap
Articuno	natural gift
Articuno	ominous wind
Articuno	pluck
Articuno	powder snow
Articuno	protect
Articuno	rain dance
Articuno	reflect
Articuno	rest
Articuno	return
Articuno	roar
Articuno	rock smash
Articuno	roost
Articuno	sandstorm
Articuno	secret power
Articuno	sheer cold
Articuno	signal beam
Articuno	sky attack
Articuno	sleep talk
Articuno	snore
Articuno	steel wing
Articuno	substitute
Articuno	sunny day
Articuno	swagger
Articuno	swift
Articuno	tailwind
Articuno	toxic
Articuno	twister
Articuno	u-turn
Articuno	water pulse
Azelf	calm mind
Azelf	charge beam
Azelf	confusion
Azelf	detect
Azelf	double team
Azelf	dream eater
Azelf	endure
Azelf	energy ball
Azelf	explosion
Azelf	extrasensory
Azelf	facade
Azelf	fire blast
Azelf	fire punch
Azelf	flamethrower
Azelf	flash
Azelf	fling
Azelf	frustration
Azelf	future sight
Azelf	giga impact
Azelf	grass knot
Azelf	headbutt
Azelf	helping hand
Azelf	hidden power
Azelf	hyper beam
Azelf	ice punch
Azelf	imprison
Azelf	iron tail
Azelf	knock off
Azelf	last resort
Azelf	light screen
Azelf	magic coat
Azelf	mud-slap
Azelf	nasty plot
Azelf	natural gift
Azelf	payback
Azelf	protect
Azelf	psych up
Azelf	psychic
Azelf	rain dance
Azelf	recycle
Azelf	reflect
Azelf	rest
Azelf	return
Azelf	role play
Azelf	safeguard
Azelf	sandstorm
Azelf	secret power
Azelf	shadow ball
Azelf	shock wave
Azelf	signal beam
Azelf	skill swap
Azelf	sleep talk
Azelf	snore
Azelf	stealth rock
Azelf	substitute
Azelf	sunny day
Azelf	swagger
Azelf	swift
Azelf	taunt
Azelf	thunder
Azelf	thunder wave
Azelf	thunderbolt
Azelf	thunderpunch
Azelf	torment
Azelf	toxic
Azelf	trick
Azelf	trick room
